word,meaning,synonym,antonym
Disparage,{'Verb': ['express a negative opinion of']},"['criticize', 'deprecate', 'vilipend', 'belittle', 'tear apart', 'trash', 'disgrace', 'discredit', 'pick at', 'derogate', 'denigrate', 'minimize', 'criticise', 'pan', 'pick apart', 'depreciate', 'knock']","['praise', 'flatter', 'approve', 'increase', 'humanize']"
Dispatch,"{'Noun': ['an official report (usually sent in haste', 'the act of sending off something', 'the property of being prompt and efficient', 'killing a person or animal'], 'Verb': ['send away towards a designated goal', 'complete or carry out', 'kill intentionally and with premeditation', 'dispose of rapidly and without delay and efficiently', 'kill without delay']}","['transport', 'despatch', 'bundle off', 'route', 'send off', 'ship', 'send']","['be born', 'switch on', 'add', 'begin', 'fall back']"
Diversification,"{'Noun': ['the act of introducing variety (especially in investments or in the variety of goods and services offered', 'the condition of being varied']}","['change', 'variegation']","['stiffen', 'decrease', 'tune']"
Doctrine,{'Noun': ['a belief (or system of beliefs']},"['freethinking', 'philosophy', 'humanitarianism', 'phenomenology', 'ism', 'absolutism', 'internationalism', 'credo', 'nationalism', 'philosophical system', 'dynamism', 'feminism', 'Kabbalism', 'belief', 'expansionism', 'pacifism', 'secular humanism', 'majority rule', 'divine right of kings', 'rationalism', ""states' rights"", 'gospel', 'animalism', 'presentism', 'contextualism', 'millennium', 'establishmentism', 'prescriptivism', 'monism', 'nihilism', 'church doctrine', 'egalitarianism', 'reincarnationism', 'functionalism', 'gymnosophy', 'school of thought', 'antiestablishmentism', 'animism', 'formalism', 'pluralism', 'nuclear deterrence', 'dualism', 'utilitarianism', 'teaching', 'ethicism', 'literalism', 'creationism', 'reformism', 'establishmentarianism', 'abolitionism', 'populism', 'multiculturalism', 'irredentism', 'commandment', 'humanism', 'epicureanism', 'theological doctrine', 'individualism', 'Cabalism', 'descriptivism', 'passivism', 'asceticism', 'creed', 'pacificism', 'laissez faire', 'antiestablishmentarianism', 'democracy', 'secessionism', 'unilateralism', 'religious doctrine', 'precept', 'dogma', 'philosophical theory', 'amoralism', 'philosophical doctrine', 'imitation', 'secularism', 'Girondism', 'divine right', 'equalitarianism', 'irridentism']","['internationalism', 'nationalism', 'monism', 'imitation', 'unbelief', 'multiculturalism', 'formalism', 'pluralism']"
Dominion,"{'Noun': ['dominance or power through legal authority', 'a region marked off for administrative or other purposes', 'one of the self-governing nations in the British Commonwealth']}","['dominance', 'control', 'rule', 'ascendence', 'reign', 'suzerainty', 'paramountcy', 'ascendancy', 'ascendency', 'raj', 'ascendance', 'sovereignty']","['palingenesis', 'cenogenesis', 'devolution', 'decline', 'optional']"
Dreary,"{'Adjective': ['lacking in liveliness or charm or surprise', 'causing dejection']}","['dull', 'drab']","['lively', 'light', 'achromatic color']"
Dubious,"{'Adjective': ['fraught with uncertainty or doubt', 'open to doubt or suspicion', 'not convinced']}","['unsure', 'doubtful', 'incertain', 'uncertain']","['sure', 'certain', 'uncertainty', 'diffidence', 'confident']"
Eccentric,"{'Noun': ['a person with an unusual or odd personality', 'a person of a specified kind (usually with many eccentricities'], 'Adjective': ['conspicuously or grossly unconventional or unusual', 'not having a common center; not concentric']}","['outre', 'outlandish', 'flaky', 'bizarre', 'freakish', 'gonzo', 'unconventional', 'off-the-wall', 'freaky', 'flakey']","['conventional', 'stable', 'unfasten', 'stop', 'spread']"
Egregious,{'Adjective': ['conspicuously and outrageously bad or reprehensible']},"['conspicuous', 'gross', 'flagrant', 'rank', 'glaring', 'crying']","['inconspicuous', 'discreet', 'inconspicuousness', 'concealed', 'mitigated']"
Eloquent,"{'Adjective': ['expressing yourself readily, clearly, effectively']}","['articulate', 'facile', 'fluent', 'smooth-spoken', 'silver', 'silver-tongued']","['inarticulate', 'voice', 'devoice', 'uncommunicative', 'written']"
Eminent,"{'Adjective': ['standing above others in quality or position', 'of imposing height; especially standing out above others']}","['soaring', 'towering', 'lofty', 'high']","['low', 'ignoble', 'unimpressive', 'short', 'side']"
Emit,"{'Verb': ['expel (gases or odors', 'give off, send forth, or discharge; as of light, heat, or radiation, vapor, etc.', 'express audibly; utter sounds (not necessarily words']}","['burp', 'exhaust', 'expel', 'pass off', 'belch', 'breathe', 'force out', 'discharge', 'bubble', 'exhale', 'give forth', 'eject', 'emanate', 'radiate', 'eruct', 'release']","['ground stroke', 'qualified', 'worth', 'whisper', 'keep down']"
Emphatic,"{'Adjective': ['spoken with emphasis', 'sudden and strong', 'forceful and definite in expression or action']}","['stressed', 'accented', 'emphasized', 'emphasised']","['unstressed', 'unemphatic', 'light', 'unaccented', 'feminine']"
Empirical,"{'Adjective': ['derived from experiment and observation rather than theory', 'relying on medical quackery']}","['confirmable', 'data-based', 'falsifiable', 'existential', 'experiential', 'verifiable', 'trial-and-error', 'observational', 'empiric', 'semiempirical', 'a posteriori', 'experimental']","['theoretical', 'subjective', 'algorithmic', 'analytic', 'deductive']"
Endow,"{'Verb': ['give qualities or abilities to', 'furnish with an endowment']}","['invest', 'endue', 'cover', 'empower', 'enable', 'gift', 'indue']","['disable', 'exclude', 'arise', 'show', 'fall short of']"
Endure,"{'Verb': ['put up with something or somebody unpleasant', 'face and withstand with courage', 'continue to live and avoid dying', 'undergo or be subjected to', 'last and be usable', 'persist for a specified period of time', 'continue to exist']}","['tolerate', 'put up', 'stick out', 'stand for', 'stomach', 'bear up', 'let', 'allow', 'take a joke', 'hold still for', 'countenance', 'stand', 'take lying down', 'accept', 'permit', 'support', 'bear', 'brook', 'pay', 'abide', 'suffer', 'digest', 'swallow', 'sit out', 'live with']","['disallow', 'forbid', 'disrespect', 'level', 'differ']"
Entail,"{'Noun': ['land received by fee tail', 'the act of entailing property; the creation of a fee tail from a fee simple'], 'Verb': ['have as a logical consequence', 'impose, involve, or imply as a necessary accompaniment or result', 'limit the inheritance of property to a specific class of heirs']}","['necessitate', 'mean', 'imply']","['work time', 'take office', 'stay', 'act']"
Entrenched,"{'Verb': ['fix firmly or securely', 'impinge or infringe upon', 'occupy a trench or secured area'], 'Adjective': ['dug in', 'established firmly and securely']}","['constituted', 'established']","['unestablished', 'unsettled', 'native']"
Enumerate,"{'Verb': ['specify individually', 'determine the number or amount of']}","['itemize', 'list', 'name', 'recite', 'identify', 'itemise']","['gain', 'loss', 'innumerate', 'uneducated', 'subtract']"
Envy,"{'Noun': ['a feeling of grudging admiration and desire to have something that is possessed by another', 'spite and resentment at seeing the success of another (personified as one of the deadly sins'], 'Verb': ['feel envious towards; admire enviously', ""be envious of; set one's heart on""]}","['look up to', 'admire']",['look down on']
Erratic,"{'Adjective': ['liable to sudden unpredictable change', 'having no fixed course', 'likely to perform unpredictably']}","['changeable', 'quicksilver', 'fickle', 'changeful', 'mercurial']","['unchangeable', 'changelessness', 'unexchangeable', 'constant', 'colorless']"
Establish,"{'Verb': ['set up or found', 'set up or lay the groundwork for', 'establish the validity of something, as by an example, explanation or experiment', 'institute, enact, or establish', 'bring about', 'build or establish something abstract', 'use as a basis for; found on']}","['found', 'launch', 'open up', 'open', 'set up']","['abolish', 'close', 'unzip', 'unlock', 'unfasten']"
Evoke,"{'Verb': ['call forth (emotions, feelings, and responses', 'evoke or provoke to appear or occur', 'deduce (a principle', 'a meaning', 'summon into action or bring into existence, often as if by magic', 'call to mind']}","['inflame', 'overtake', 'make', 'invite', 'disconcert', 'stir', 'excite', 'raise', 'strike a chord', 'upset', 'whelm', 'touch a chord', 'ignite', 'shake up', 'discomfit', 'spite', 'arouse', 'overwhelm', 'stimulate', 'heat', 'injure', 'bruise', 'hurt', 'fire up', 'discompose', 'prick', 'enkindle', 'create', 'overcome', 'anger', 'fire', 'kindle', 'infatuate', 'sweep over', 'overpower', 'rekindle', 'offend', 'provoke', 'interest', 'shake', 'wake', 'wound', 'ask for', 'shame', 'elicit', 'stir up', 'untune', 'draw']","['bore', 'calmness', 'calm', 'stifle', 'lower']"
Exacerbate,"{'Verb': ['make worse', 'exasperate or irritate']}","['cheapen', 'degrade', 'change', 'exasperate', 'irritate', 'worsen', 'modify', 'aggravate', 'inflame', 'alter']","['better', 'soothe', 'humanize', 'stiffen', 'decrease']"
Excel,{'Verb': ['distinguish oneself']},"['outrank', 'exceed', 'overstep', 'excel at', 'rank', 'transcend', 'pass', 'top', 'go past', 'stand out', 'surpass', 'shine at']","['upgrade', 'downgrade', 'incomplete', 'inconspicuous', 'sterile']"
Exert,"{'Verb': ['put to use', 'have and exercise', 'make a great effort at a mental or physical task']}","['utilise', 'use', 'exercise', 'utilize', 'apply', 'employ']","['conserve', 'inactivity', 'abstain', 'nonfunctional', 'functional']"
Exhilarating,"{'Verb': ['fill with sublime emotion'], 'Adjective': ['making lively and cheerful', 'making lively and joyful']}","['stimulating', 'invigorating']","['debilitating', 'unmoving', 'uninteresting']"
Expend,"{'Verb': ['use up, consume fully', 'pay out']}","['consume', 'eat up', 'take', 'deplete', 'waste', 'use up', 'eat', 'pervert', 'use', 'run through', 'wipe out', 'abuse', 'blow', 'squander', 'spare', 'exhaust', 'misuse', 'occupy']","['conserve', 'disable', 'abstain', 'underspend', 'inactivity']"
Exploit,"{'Noun': ['a notable achievement'], 'Verb': [""use or manipulate to one's advantage"", 'draw from; make good use of', 'work excessively hard']}","['utilise', 'avail', 'feed', 'use', 'make hay', 'utilize', 'apply', 'play', 'prey', 'employ', 'help', 'work']","['abstain', 'nonfunctional', 'functional', 'uselessness', 'inutility']"
Facilitate,"{'Verb': ['make easier', 'be of use', 'increase the likelihood of (a response']}","['alleviate', 'aid', 'ease', 'assist', 'help']","['irritate', 'worsen', 'inactivity', 'disservice', 'activity']"
Feasibility,{'Noun': ['the quality of being doable']},"['practicableness', 'practicability', 'feasibleness']","['infeasibility', 'impracticableness', 'impracticability', 'uselessness']"
Ferocity,{'Noun': ['the property of being wild or turbulent']},"['violence', 'intensity', 'fierceness', 'furiousness', 'savagery', 'wildness', 'intensiveness', 'savageness', 'vehemence', 'fury']","['achromatic color', 'softness', 'soft', 'loud', 'tameness']"
Fiscal,{'Adjective': ['involving financial matters']},['financial'],['nonfinancial']
Flourish,"{'Noun': ['a showy gesture', 'an ornamental embellishment in writing', 'a display of ornamental speech or language', 'the act of waving', '(music'], 'Verb': ['grow vigorously', ""make steady progress; be at the high point in one's career or reach a high point in historical significance or importance"", 'move or swing back and forth']}","['grow', 'expand', 'thrive', 'boom', 'revive', 'luxuriate']","['go', 'advance', 'fall', 'follow', 'enter']"
Fluctuate,"{'Verb': ['cause to fluctuate or move in a wavelike pattern', 'move or sway in a rising and falling or wavelike pattern', 'be unstable']}","['change state', 'turn']","['rise', 'recede', 'ascend']"
Foment,"{'Verb': ['try to stir up public opinion', 'bathe with warm water or medicated lotions']}","['agitate', 'stimulate', 'provoke', 'stir up', 'rumpus']","['desensitise', 'desensitize', 'deaden', 'de-energize', 'sedate']"
Foreseeable,{'Adjective': ['capable of being anticipated']},['predictable'],"['unpredictable', 'uncertain']"
Frankly,"{'Adverb': [""(used as intensives reflecting the speaker's attitude""]}","['honestly', 'candidly']",['dishonestly']
Freewheeling,"{'Verb': ['live unhurriedly, irresponsibly, or freely', 'coast in a vehicle using the freewheel'], 'Adjective': ['free of restraints or rules', 'cheerfully irresponsible']}",['unrestrained'],"['restrained', 'troubled']"
Fundamental,"{'Noun': ['any factor that could be considered important to the understanding of a particular business', 'the lowest tone of a harmonic series'], 'Adjective': ['serving as an essential component', 'being or involving basic facts or principles', 'far-reaching and thoroughgoing in effect especially on the nature of something']}","['key', 'of import', 'central', 'important', 'primal', 'cardinal']","['unimportant', 'atonality', 'unimportance', 'inessential', 'worthless']"
Galvanizing,"{'Verb': ['to stimulate to action', 'cover with zinc', 'stimulate (muscles'], 'Adjective': ['affected by emotion as if by electricity; thrilling']}","['galvanic', 'exciting', 'galvanising', 'electric']","['unexciting', 'unprovocative', 'unsexy', 'unstimulating', 'uninteresting']"
Geriatric,"{'Adjective': ['of or relating to the aged', 'of or relating to or practicing geriatrics']}",['gerontological'],
Hostile,"{'Noun': [""troops belonging to the enemy's military forces""], 'Adjective': ['characterized by enmity or ill will', ""not belonging to your own country's forces or those of an ally"", 'impossible to bring into friendly accord', 'very unfavorable to life or growth', 'unsolicited and resisted by the management of the target company (used of attempts to buy or take control of a business']}","['unpeaceful', 'antagonistic', 'aggressive', 'dirty', 'antipathetical', 'head-on', 'violent', 'opponent', 'unfriendly', 'hateful', 'opposing', 'antipathetic', 'at loggerheads', 'offensive', 'ill', 'bitter', 'inimical', 'belligerent']","['defensive', 'peaceful', 'amicable', 'nonviolent', 'unaggressive', 'lovable', 'friendly']"
Hypothetical,"{'Noun': ['a hypothetical possibility, circumstance, statement, proposal, situation, etc.'], 'Adjective': ['based primarily on surmise rather than adequate evidence']}","['divinatory', 'supposed', 'theoretic', 'conjectural', 'suppositious', 'suppositional', 'supposititious', 'theoretical', 'hypothetic']","['empirical', 'unprophetic', 'unquestionable', 'probable', 'unobligated']"
Ignominious,{'Adjective': ['(used of conduct or character']},"['shameful', 'inglorious', 'dishonorable', 'dishonourable', 'black', 'disgraceful', 'opprobrious']","['honorable', 'moral', 'known', 'glorious', 'sincere']"
Impart,"{'Verb': ['transmit (knowledge or skills', 'bestow a quality on', 'transmit or serve as the medium for transmission']}","['give', 'convey', 'tell', 'bequeath', 'will', 'leave', 'pass on']","['disinherit', 'tune', 'dissimilate', 'detransitivize', 'focus']"
Impartiality,{'Noun': ['an inclination to weigh both views or opinions equally']},"['candor', 'disposition', 'fair-mindedness', 'disinterestedness', 'tendency', 'fairness', 'inclination', 'nonpartisanship', 'candour']","['partiality', 'unfairness', 'disingenuousness', 'dishonesty', 'agreeableness']"
Imposing,"{'Verb': ['compel to behave in a certain way', 'impose something unpleasant', 'impose and collect'], 'Adjective': ['impressive in appearance', ""used of a person's appearance or behavior; befitting an eminent person""]}","['stately', 'noble', 'impressive', 'baronial']","['unimpressive', 'noblewoman', 'female aristocrat', 'Lady', 'reactive']"
Imposition,"{'Noun': ['the act of imposing something (as a tax or an embargo', 'an uncalled-for burden']}","['protection', 'infliction', 'regimentation', 'reimposition', 'taxation', 'trade protection', 'enforcement']","['inactivity', 'insecurity', 'discharge', 'unburden', 'empty']"
Imprudent,"{'Adjective': ['not prudent or wise', 'lacking wise self-restraint']}",['indiscreet'],"['discreet', 'thrifty']"
Incite,"{'Verb': ['give an incentive for action', 'provoke or stir up', 'urge on; cause to act']}","['propel', 'move', 'prompt', 'actuate', 'do', 'affect', 'cause', 'make', 'impress', 'motivate', 'strike']","['advance', 'fall', 'follow', 'enter', 'stand still']"
Indifference,"{'Noun': ['unbiased impartial unconcern', 'apathy demonstrated by an absence of emotional reactions', 'the trait of lacking enthusiasm for or interest in things generally', 'the trait of remaining calm and seeming not to care; a casual lack of concern']}","['aloofness', 'unconcern', 'detachment', 'withdrawal', 'distance']","['concern', 'revolve around', 'focus on', 'concentrate on', 'apply']"
Indiscriminately,"{'Adverb': ['in a random manner', 'in an indiscriminate manner']}","['randomly', 'willy-nilly', 'every which way', 'haphazardly', 'at random', 'arbitrarily']",
Indulge,"{'Verb': ['give free rein to', 'yield (to', 'enjoy to excess', 'treat with excessive indulgence']}","['cater', 'humor', ""sow one's wild oats"", 'ply', 'spree', 'pander', 'provide', 'humour', ""sow one's oats"", 'gratify', 'supply']","['take', 'good humor', 'ill humor', 'disjoin', 'kern']"
Infer,"{'Verb': ['reason by deduction; establish by deduction', 'draw from specific cases for more general cases', 'conclude by reasoning; in logic', 'guess correctly; solve by guessing', 'believe to be the case']}","['reason', 'reason out', 'surmise', 'deduct', 'deduce', 'derive', 'extrapolate', 'elicit', 'conclude']","['add', 'lose', 'bore', 'associate', 'integrate']"
Innovative,"{'Adjective': ['ahead of the times', 'being or producing something like nothing done or experienced or created before']}","['progressive', 'forward-looking', 'modern', 'advanced']","['regressive', 'juvenile', 'inactive', 'disordered', 'decreasing']"
Insatiable,{'Adjective': ['impossible to satisfy']},"['unsated', 'unsatiable', 'insatiate', 'unsatisfied', 'unsatiated', 'quenchless', 'unsatisfiable', 'unquenchable']","['satiate', 'contented', 'glut', 'eat', 'gormandise']"
Inversion,"{'Noun': ['the layer of air near the earth is cooler than an overlying layer', 'abnormal condition in which an organ is turned inward or inside out (as when the upper part of the uterus is pulled into the cervical canal after childbirth', 'a chemical process in which the direction of optical rotation of a substance is reversed from dextrorotatory to levorotary or vice versa', '(genetics', 'the reversal of the normal order of words', '(counterpoint', 'a term formerly used to mean taking on the gender role of the opposite sex', 'turning upside down; setting on end', 'the act of turning inside out']}",['atmospheric phenomenon'],"['arrange', 'behave']"
Invoke,"{'Verb': ['summon into action or bring into existence, often as if by magic', 'cite as an authority; resort to', 'request earnestly (something from somebody']}","['put forward', 'damn', 'call forth', 'make', 'call down', 'stir', 'conjure', 'raise', 'bring up', 'maledict', 'arouse', 'kick up', 'beshrew', 'evoke', 'anathemise', 'create', 'imprecate', 'conjure up', 'bless', 'provoke', 'anathemize', 'curse', 'bedamn']","['curse', 'bless', 'break', 'unmake', 'stay']"
Irreconcilable,{'Adjective': ['impossible to reconcile']},"['inconsistent', 'unreconcilable', 'hostile']","['reconcilable', 'consistent', 'invariable', 'congruous']"
Lament,"{'Noun': ['a cry of sorrow and grief', 'a song or hymn of mourning composed or performed as a memorial to a dead person', 'a mournful poem; a lament for the dead'], 'Verb': ['express grief verbally', 'regret strongly']}","['keen', 'sorrow', 'express feelings', 'grieve', 'express emotion']","['happiness', 'laugh', 'cry', 'inactivity', 'cheerless']"
Locomotion,"{'Noun': ['the power or ability to move', 'self-propelled movement']}","['trot', 'travel', 'creeping', 'dance step', 'walking', 'lap', 'circuit', 'step', 'crawl', 'crawling', 'creep', 'move', 'brachiation', 'gait', 'running', 'lope', 'run', 'movement', 'circle', 'motion', 'jog', 'stroke', 'walk']","['rising trot', 'sitting trot', 'rise', 'recede', 'ascend']"
Lucrative,{'Adjective': ['producing a sizeable profit']},"['remunerative', 'moneymaking', 'profitable']","['unprofitable', 'unpaid', 'noncommercial', 'unproductive']"
Malicious,{'Adjective': ['having the nature of or resulting from malice']},"['bitchy', 'spiteful', 'cattish', 'vicious', 'beady-eyed', 'despiteful', 'vixenish', 'malevolent', 'venomed', 'vindictive', 'leering', 'poisonous', 'venomous', 'catty']","['unmalicious', 'humane', 'right', 'virtuous', 'beneficent']"
Malleable,"{'Adjective': ['easily influenced', 'capable of being shaped or bent or drawn out']}","['manipulable', 'ductile', 'tractable']","['intractable', 'intractability', 'unmanageable', 'defiant']"
Materialistic,"{'Adjective': ['marked by materialism', 'conforming to the standards and conventions of the middle class']}","['conservative', 'bourgeois', 'middle-class']","['upper-class', 'lower-class', 'noncommercial', 'unpaid']"
Melodramatic,"{'Adjective': ['having the excitement and emotional appeal of melodrama', 'characteristic of acting or a stage performance; often affected']}",['dramatic'],"['undramatic', 'unimpressive']"
Modest,"{'Adjective': ['marked by simplicity; having a humble opinion of yourself', 'not large but sufficient in size or amount', 'free from pomp or affectation', 'not offensive to sexual mores in conduct or appearance', 'low or inferior in station or quality', 'humble in spirit or manner; suggesting retiring mildness or even cowed submissiveness', 'relatively moderate, limited, or small']}","['humble', 'unassuming', 'retiring']","['immodest', 'proud', 'dirty', 'indecorous']"
Modify,"{'Verb': ['make less severe or harsh or extreme', 'add a modifier to a constituent', 'cause to change; make different; cause a transformation']}","['attemper', 'buffer', 'cream', 'specialize', 'cushion', 'soup up', 'specialise', 'optimise', 'inflect', 'syncopate', 'corrupt', 'qualify', 'optimize', 'temper', 'soften', 'restrict', 'update', 'change', 'spoil', 'hot up', 'hop up', 'harden']","['stay', 'tasteful', 'expand', 'fire', 'stretch']"
Momentous,{'Adjective': ['of very great significance']},"['important', 'significant']","['insignificant', 'unimportance', 'unimportant']"
Novel,"{'Noun': ['an extended fictional work in prose; usually in the form of a story', 'a printed and bound book that is an extended work of fiction'], 'Adjective': ['original and of a kind not seen before', 'pleasantly new or different']}","['mystery novel', 'detective novel', 'romance', 'roman fleuve', 'fiction', 'novelette', 'roman a clef', 'dime novel', 'novella', 'penny dreadful']","['same', 'accustomed', 'worn', 'staleness', 'backward']"
Nuance,{'Noun': ['a subtle difference in meaning or opinion or attitude']},"['shade', 'refinement', 'significance', 'import', 'meaning', 'subtlety', 'nicety', 'signification']","['colorlessness', 'brighten', 'stay', 'imperfection', 'inconsequence']"
Null,"{'Noun': ['a quantity of no importance'], 'Adjective': ['lacking any legal or binding force']}","['invalid', 'void']","['valid', 'decriminalize', 'allow']"
Objectivity,{'Noun': ['judgment based on observable phenomena and uninfluenced by emotions or personal prejudices']},"['sound judgment', 'judgement', 'objectiveness', 'sound judgement', 'judgment', 'perspicacity']","['reversal', 'judgment in personam', 'judgment in rem', 'affirmation', 'judiciousness']"
Obsolete,{'Adjective': ['no longer in use']},"['disused', 'noncurrent']","['current', 'new', 'present']"
Omnipotent,{'Adjective': ['having unlimited power']},"['all-powerful', 'almighty', 'powerful']","['powerless', 'ineffective', 'powerlessness', 'impotent']"
Onset,"{'Noun': ['the beginning or early stages', '(military', 'using weapons']}","['start', 'oncoming']","['discharge', 'unburden', 'empty']"
Opine,"{'Verb': [""express one's opinion openly and without fear or hesitation"", 'expect, believe, or suppose']}","['editorialise', 'sound off', 'speak out', 'animadvert', 'speak up', 'editorialize', 'declare']","['subtract', 'respect', 'disesteem', 'esteem', 'exclude']"
Ornate,{'Adjective': ['marked by elaborate rhetoric and elaborated with decorative details']},"['flowery', 'rhetorical']","['unrhetorical', 'plain', 'literal']"
Oust,"{'Verb': ['remove from a position or office', 'remove and replace']}","['expel', 'throw out', 'depose', 'drum out', 'boot out', 'remove', 'force out', 'excommunicate', 'kick out']","['repatriate', 'fuse', 'saddle', 'lodge', 'burden']"
Paramount,{'Adjective': ['having superior power and influence']},"['preponderating', 'dominant', 'predominant', 'predominate', 'preponderant', 'overriding']","['subordinate', 'inferior', 'infrequent', 'supporter', 'foot soldier']"
Peculiar,"{'Adjective': ['beyond or deviating from the usual or expected', 'unique or specific to a person or thing or category', 'markedly different from the usual', 'characteristic of one only; distinctive or special']}","['funny', 'singular', 'strange', 'odd', 'rummy', 'unusual', 'rum', 'queer', 'curious']","['familiar', 'well', 'plural', 'ordinary', 'common']"
Perish,{'Verb': ['pass from physical life and lose all bodily attributes and functions necessary to sustain life']},"['go bad', 'pass away', 'drown', 'fail', 'break', 'starve', 'die', 'pass', 'give-up the ghost', 'famish', 'go', 'fall', 'choke', 'give out', 'kick the bucket', ""cash in one's chips"", 'buy it', 'succumb', 'exit', 'decease', 'abort', 'asphyxiate', 'change state', 'stifle', 'pop off', 'buy the farm', 'give way', 'predecease', 'croak', 'snuff it', 'suffocate', 'break down', 'conk', 'conk out', 'turn', 'expire', 'drop dead', 'yield', 'pip out']","['be born', 'survive', 'function', 'stay', 'begin']"
Persecute,{'Verb': ['cause to suffer']},"['oppress', 'purge', 'bedevil', 'frustrate', 'dun', 'torment', 'crucify', 'rag']","['rehabilitate', 'keep down', 'convict', 'orient', 'achromatic']"
Petulant,{'Adjective': ['easily irritated or annoyed']},"['fractious', 'peevish', 'scratchy', 'ill-natured', 'pettish', 'techy', 'testy', 'peckish', 'tetchy', 'irritable', 'nettlesome', 'cranky']","['good-natured', 'obedient', 'easy', 'euphonious', 'smooth']"
Pinnacle,"{'Noun': ['(architecture', 'the highest level or degree attainable; the highest stage of development', 'a lofty peak'], 'Verb': ['surmount with a pinnacle', 'raise on or as if on a pinnacle']}","['spire', 'steeple']","['low', 'lowness', 'high']"
Pitiable,"{'Adjective': ['inspiring mixed contempt and pity', 'deserving or inciting pity']}","['pitiful', 'pathetic', 'contemptible']","['estimable', 'good', 'ample', 'superior']"
Plausible,"{'Adjective': ['apparently reasonable and credible, and therefore convincing', 'given to or characterized by presenting specious arguments']}","['arguable', 'slick', 'believable', 'pat', 'credible', 'glib']","['implausible', 'incredible', 'uncontroversial', 'artless', 'dull']"
Postulate,"{'Noun': ['(logic'], 'Verb': ['maintain or assert', 'take as a given; assume as a postulate or axiom', 'require as useful, just, or proper']}","['claim', 'contend']","['disclaim', 'charge', 'ionate']"
Potent,"{'Adjective': ['having great influence', 'having or wielding force or authority', 'having a strong physiological or chemical effect', '(of a male']}","['strong', 'powerful']","['powerless', 'unsoundness', 'weak part']"
Pragmatic,"{'Noun': ['an imperial decree that becomes part of the fundamental law of the land'], 'Adjective': ['concerned with practical matters', 'or pragmatic', 'of or concerning the theory of pragmatism', 'guided by practical experience and observation rather than theory']}","['practical', 'pragmatical', 'matter-of-fact']","['impractical', 'unreal', 'impossible', 'nonrepresentational']"
Precedent,"{'Noun': ['an example that is used to justify similar occurrences at a later time', '(civil law', 'a system of jurisprudence based on judicial precedents rather than statutory laws', 'a subject mentioned earlier (preceding in time'], 'Adjective': ['preceding in time, order, or significance']}","['representative', 'example', 'case in point', 'instance', 'illustration']","['atypical', 'undemocratic', 'contract', 'misconception', 'civil law']"
Predecessor,"{'Noun': ['one who precedes you in time (as in holding a position or office', 'something that precedes and indicates the approach of something or someone']}","['precursor', 'forefather', 'forerunner']","['contraindication', 'descendant']"
Prescribe,"{'Verb': ['issue commands or orders for', 'recommend as beneficial', '(medicine', 'a treatment, medicine, etc.']}","['order', 'bring down', 'mandate', 'visit', 'inflict', 'dictate', 'impose']","['upgrade', 'downgrade', 'snarl', 'entangle', 'disorder']"
Principle,"{'Noun': ['a basic generalization that is accepted as true and that can be used as a basis for reasoning or conduct', 'a rule or standard especially of good behavior', 'a basic truth or law or assumption', 'a rule or law concerning a natural phenomenon or the function of a complex system', 'rule of personal conduct', 'especially an explanation of the working of some device in terms of laws of nature']}","['yin', 'rule', 'generalisation', 'pillar', 'yang', 'feng shui', 'generality', 'generalization']","['yang', 'yin', 'dark', 'light', 'black']"
Prohibit,{'Verb': ['command against']},"['outlaw', 'criminalise', 'illegalise', 'debar', 'proscribe', 'criminalize', 'nix', 'forbid', 'enjoin', 'exclude', 'interdict', 'illegalize', 'veto', 'command', 'disallow', 'bar', 'require', 'ban']","['decriminalize', 'allow', 'permit', 'decriminalise', 'legalize']"
Prompt,"{'Noun': ['a cue given to a performer (usually the beginning of the next line to be spoken', '(computer science'], 'Verb': ['give an incentive for action', 'serve as the inciting cause of', 'assist (somebody acting or reciting'], 'Adjective': ['according to schedule or without delay; on time', 'ready and willing or quick to act', 'performed with little or no delay']}","['propel', 'move', 'actuate', 'do', 'affect', 'cause', 'make', 'impress', 'motivate', 'incite', 'strike']","['push', 'wind', 'unwind', 'arrange', 'behave']"
Promulgate,"{'Verb': ['state or announce', 'put a law into effect by formal declaration']}","['declare', 'announce']","['soft', 'criticize', 'desecrate']"
Prosecute,"{'Verb': ['conduct a prosecution in a court of law', 'bring a criminal action against (in a trial', 'carry out or participate in an activity; be involved in']}","['move', 'act']","['refrain', 'linger', 'stay in place']"
Provocative,"{'Adjective': ['serving or tending to provoke, excite, or stimulate; stimulating discussion or exciting controversy', 'intentionally arousing sexual desire']}","['rabble-rousing', 'challenging', 'charged', 'seditious', 'agitating', 'incendiary', 'agitative', 'intriguing', 'inflammatory', 'rousing', 'instigative', 'exciting', 'incitive', 'provoking']","['unexciting', 'unprovocative', 'easy', 'unstimulating', 'uncharged']"
Qualitative,"{'Adjective': ['involving distinctions based on qualities', 'relating to or involving comparisons based on qualities']}",['soft'],"['quantitative', 'softness']"
Quantitative,"{'Adjective': ['expressible as a quantity or relating to or susceptible of measurement', 'relating to the measurement of quantity', '(of verse']}","['vicenary', 'duodecimal', 'denary', 'numeric', 'numerical', 'quantifiable', 'valued', 'three-figure', 'decimal']","['qualitative', 'single', 'verbal', 'unworthy', 'soft']"
